Ticker,calendar_qtr_x,public_date,EV/EBITDA,P/E Ratio,P/S Ratio,Net Margin,EBITDA Margin,Return on Assets,Return on Equity,Debt-to-Equity,Interest Coverage,Quick Ratio,Current Ratio,Asset Turnover,Price-to-Book,date,Current Volume,predicted_volume
AMZN,2010Q1,2010-01-31,23.798,3.689,2.57,0.034,0.063,0.186,0.261,1.569,27.405,1.041,1.384,2.717,15.551,2010-01-29,30248479.0,38873069.0
DELL,2010Q1,2010-01-31,7.794,17.432,0.491,0.028,0.067,0.125,0.336,5.268,18.964,1.372,1.428,1.808,5.024,2010-01-29,35815629.0,26594070.0
KLAC,2010Q1,2010-01-31,373.633,-9.126,3.647,-0.393,0.01,0.004,-0.222,0.67,-1.867,3.339,3.993,0.36,2.199,2010-01-29,10716480.0,7132381.0
VMW,2010Q1,2010-01-31,26.755,70.953,2.418,0.131,0.228,0.114,0.116,0.793,23.237,2.812,2.812,0.47,1.787,2010-01-29,2394500.0,2213300.0
LRCX,2010Q1,2010-01-31,-73.168,-1.411,4.248,-0.296,-0.047,-0.02,-0.183,0.378,-28.699,2.922,3.581,0.467,2.808,2010-01-29,4522111.0,2961979.0
QCOM,2010Q1,2010-01-31,19.397,41.253,6.323,0.153,0.373,0.149,0.083,0.351,135.208,4.308,4.469,0.401,3.241,2010-01-29,113204996.0,55025949.0
ANSS,2010Q1,2010-01-31,12.484,34.883,7.489,0.221,0.47,0.128,0.085,0.534,13.714,1.541,1.541,0.272,2.741,2010-01-29,679968.0,411902.0
ORCL,2010Q1,2010-01-31,10.11,20.052,4.976,0.25,0.476,0.232,0.232,0.949,13.294,2.409,2.409,0.466,4.145,2010-01-29,50115168.0,29748794.0
ADBE,2010Q1,2010-01-31,19.497,44.247,5.747,0.131,0.337,0.151,0.08,0.489,214.785,2.929,2.929,0.45,3.292,2010-01-29,8505090.0,8845766.0
ADI,2010Q1,2010-01-31,16.432,31.718,3.905,0.123,0.237,0.147,0.099,0.346,82.675,5.787,6.442,0.62,3.067,2010-01-29,7080100.0,4139800.0
ONNN,2010Q1,2010-01-31,11.067,-5.546,1.75,-0.302,0.171,0.124,-0.612,1.755,2.089,1.347,1.895,0.777,3.359,2010-01-29,15499920.0,12450791.0
CSCO,2010Q1,2010-01-31,14.008,22.929,3.702,0.164,0.254,0.14,0.155,0.721,17.768,3.076,3.157,0.53,3.221,2010-01-29,73618683.0,54967408.0
MSFT,2010Q1,2010-01-31,9.091,18.299,4.39,0.245,0.387,0.314,0.381,0.933,544.553,1.708,1.742,0.766,5.975,2010-01-29,194295037.0,86260465.0
CDNS,2010Q1,2010-01-31,-36.164,-0.814,1.816,-2.077,-0.059,-0.026,-3.5,13.022,-5.398,1.861,1.918,0.567,16.226,2010-01-29,3177596.0,2825559.0
MU,2010Q1,2010-01-31,6.496,-6.976,1.443,-0.187,0.29,0.126,-0.196,0.971,-2.676,1.169,1.68,0.443,1.428,2010-01-29,42366910.0,19662652.0
NVDA,2010Q1,2010-01-31,183.445,-0.611,3.059,-0.123,0.012,0.01,-0.143,0.416,366.064,2.236,2.672,0.85,3.483,2010-01-29,19486599.0,23870492.0
NFLX,2010Q1,2010-01-31,11.148,4.913,2.102,0.068,0.132,0.345,0.321,0.865,63.855,1.382,1.521,2.721,14.351,2010-01-29,3642602.0,2778848.0
INTU,2010Q1,2010-01-31,9.871,22.777,2.962,0.138,0.304,0.207,0.188,0.977,11.964,1.59,1.59,0.667,4.069,2010-01-29,3907812.0,2818949.0
AMD,2010Q1,2010-01-31,189.599,-2.038,1.017,-0.457,0.009,0.005,-1.675,-25.032,-2.655,1.402,1.664,0.576,6.292,2010-01-29,37457700.0,25476300.0
CRM,2010Q1,2010-01-31,34.868,26.928,6.395,0.06,0.122,0.105,0.105,1.001,595.72,1.138,1.138,0.808,9.241,2010-01-29,1570200.0,1409900.0
IBM,2010Q1,2010-01-31,7.349,12.618,1.683,0.136,0.233,0.207,0.743,5.879,13.491,1.14,1.212,0.912,8.74,2010-01-29,11572400.0,7249900.0
